sku,name,base_image,small_image,thumbnail_image,additional_images,store_view_code,attribute_set_code,product_type,categories,product_websites,description,tax_class_name,visibility,price,url_key,meta_title,qty
Dell Inspiron 15 3511 Intel gen 11 (Chính hãng),Dell Inspiron 15 3511 Intel gen 11 (Chính hãng),inspiron-3511-p112f001abl-thinkpro.jpg,inspiron-3511-p112f001abl-thinkpro.jpg,inspiron-3511-p112f001abl-thinkpro.jpg,inspiron-3511-p112f001abl-thinkpro.jpg,,Default,simple,"Root,Root/Laptop,Root/Laptop/Dell",base,Dell Inspiron 15 3511 Intel gen 11 (Chính hãng),Taxable Goods,"Catalog, Search",631.77,inspiron-3511-p112f001abl-thinkpro.,Dell Inspiron 15 3511 Intel gen 11 (Chính hãng),29
Asus Vivobook 14 A415,Asus Vivobook 14 A415,A415sil_00.jpg,A415sil_00.jpg,A415sil_00.jpg,A415sil_00.jpg,,Default,simple,"Root,Root/Laptop,Root/Laptop/Asus",base,Asus Vivobook 14 A415,Taxable Goods,"Catalog, Search",671.01,A415sil_00.,Asus Vivobook 14 A415,47
MSI Stealth 15M A11,MSI Stealth 15M A11,stealth15m-grey-0.jpg,stealth15m-grey-0.jpg,stealth15m-grey-0.jpg,stealth15m-grey-0.jpg,,Default,simple,"Root,Root/Laptop,Root/Laptop/MSI",base,MSI Stealth 15M A11,Taxable Goods,"Catalog, Search",1525.58,stealth15m-grey-0.,MSI Stealth 15M A11,41
Acer Nitro 5 15'' 2021 (AMD),Acer Nitro 5 15'' 2021 (AMD),nitro5-2020-00.jpg,nitro5-2020-00.jpg,nitro5-2020-00.jpg,nitro5-2020-00.jpg,,Default,simple,"Root,Root/Laptop,Root/Laptop/Acer",base,Acer Nitro 5 15'' 2021 (AMD),Taxable Goods,"Catalog, Search",1024.18,nitro5-2020-00.,Acer Nitro 5 15'' 2021 (AMD),41
HP ProBook 440 G8 (Chính hãng),HP ProBook 440 G8 (Chính hãng),440g8-0.jpg,440g8-0.jpg,440g8-0.jpg,440g8-0.jpg,,Default,simple,"Root,Root/Laptop,Root/Laptop/HP",base,HP ProBook 440 G8 (Chính hãng),Taxable Goods,"Catalog, Search",827.97,440g8-0.,HP ProBook 440 G8 (Chính hãng),26
Lenovo IdeaPad 5 14 AMD (Chính hãng),Lenovo IdeaPad 5 14 AMD (Chính hãng),ideapad514-graphite-0.jpg,ideapad514-graphite-0.jpg,ideapad514-graphite-0.jpg,ideapad514-graphite-0.jpg,,Default,simple,"Root,Root/Laptop,Root/Laptop/Lenovo",base,Lenovo IdeaPad 5 14 AMD (Chính hãng),Taxable Goods,"Catalog, Search",814.89,ideapad514-graphite-0.,Lenovo IdeaPad 5 14 AMD (Chính hãng),35
Dell Vostro 14 3405 (Chính hãng),Dell Vostro 14 3405 (Chính hãng),v3405_00.png,v3405_00.png,v3405_00.png,v3405_00.png,,Default,simple,"Root,Root/Laptop,Root/Laptop/Dell",base,Dell Vostro 14 3405 (Chính hãng),Taxable Goods,"Catalog, Search",697.17,v3405_00.,Dell Vostro 14 3405 (Chính hãng),20
Asus Vivobook 15 A515,Asus Vivobook 15 A515,A515sil_00.jpg,A515sil_00.jpg,A515sil_00.jpg,A515sil_00.jpg,,Default,simple,"Root,Root/Laptop,Root/Laptop/Asus",base,Asus Vivobook 15 A515,Taxable Goods,"Catalog, Search",627.85,A515sil_00.,Asus Vivobook 15 A515,35
MSI Pulse GL66,MSI Pulse GL66,gl66-0.jpg,gl66-0.jpg,gl66-0.jpg,gl66-0.jpg,,Default,simple,"Root,Root/Laptop,Root/Laptop/MSI",base,MSI Pulse GL66,Taxable Goods,"Catalog, Search",1656.38,gl66-0.,MSI Pulse GL66,29
Acer Nitro 5 15'' (Intel Gen 11),Acer Nitro 5 15'' (Intel Gen 11),nitro5-2020-00.jpg,nitro5-2020-00.jpg,nitro5-2020-00.jpg,nitro5-2020-00.jpg,,Default,simple,"Root,Root/Laptop,Root/Laptop/Acer",base,Acer Nitro 5 15'' (Intel Gen 11),Taxable Goods,"Catalog, Search",1045.98,nitro5-2020-00.,Acer Nitro 5 15'' (Intel Gen 11),44
HP ZBook Studio G3,HP ZBook Studio G3,hp-zbook-studio-g3.jpg,hp-zbook-studio-g3.jpg,hp-zbook-studio-g3.jpg,hp-zbook-studio-g3.jpg,,Default,simple,"Root,Root/Laptop,Root/Laptop/HP",base,HP ZBook Studio G3,Taxable Goods,"Catalog, Search",871.57,hp-zbook-studio-g3.,HP ZBook Studio G3,26
Lenovo ThinkPad T490,Lenovo ThinkPad T490,lenovo-thinkpad-t490.jpg,lenovo-thinkpad-t490.jpg,lenovo-thinkpad-t490.jpg,lenovo-thinkpad-t490.jpg,,Default,simple,"Root,Root/Laptop,Root/Laptop/Lenovo",base,Lenovo ThinkPad T490,Taxable Goods,"Catalog, Search",827.97,lenovo-thinkpad-t490.,Lenovo ThinkPad T490,38
Dell Latitude 3410 (Chính hãng),Dell Latitude 3410 (Chính hãng),l3410-0.jpg,l3410-0.jpg,l3410-0.jpg,l3410-0.jpg,,Default,simple,"Root,Root/Laptop,Root/Laptop/Dell",base,Dell Latitude 3410 (Chính hãng),Taxable Goods,"Catalog, Search",758.21,l3410-0.,Dell Latitude 3410 (Chính hãng),47
Asus Vivobook Flip 14 TP470 (Intel),Asus Vivobook Flip 14 TP470 (Intel),tp470-silver-0.jpg,tp470-silver-0.jpg,tp470-silver-0.jpg,tp470-silver-0.jpg,,Default,simple,"Root,Root/Laptop,Root/Laptop/Asus",base,Asus Vivobook Flip 14 TP470 (Intel),Taxable Goods,"Catalog, Search",697.17,tp470-silver-0.,Asus Vivobook Flip 14 TP470 (Intel),29
MSI Summit E13 Flip Evo,MSI Summit E13 Flip Evo,msi-nb-summit-e13-flip-ink-black-photo02.jpg,msi-nb-summit-e13-flip-ink-black-photo02.jpg,msi-nb-summit-e13-flip-ink-black-photo02.jpg,msi-nb-summit-e13-flip-ink-black-photo02.jpg,,Default,simple,"Root,Root/Laptop,Root/Laptop/MSI",base,MSI Summit E13 Flip Evo,Taxable Goods,"Catalog, Search",1743.59,msi-nb-summit-e13-flip-ink-black-photo02.,MSI Summit E13 Flip Evo,32
Acer Swift 5 14 (Chính hãng),Acer Swift 5 14 (Chính hãng),swift514_00gold.jpg,swift514_00gold.jpg,swift514_00gold.jpg,swift514_00gold.jpg,,Default,simple,"Root,Root/Laptop,Root/Laptop/Acer",base,Acer Swift 5 14 (Chính hãng),Taxable Goods,"Catalog, Search",1133.18,swift514_00gold.,Acer Swift 5 14 (Chính hãng),47
HP Envy 13 (Chính hãng),HP Envy 13 (Chính hãng),envy132020_00.jpg,envy132020_00.jpg,envy132020_00.jpg,envy132020_00.jpg,,Default,simple,"Root,Root/Laptop,Root/Laptop/HP",base,HP Envy 13 (Chính hãng),Taxable Goods,"Catalog, Search",958.78,envy132020_00.,HP Envy 13 (Chính hãng),32
Lenovo ThinkPad X390,Lenovo ThinkPad X390,lenovo-thinkpad-x390.jpg,lenovo-thinkpad-x390.jpg,lenovo-thinkpad-x390.jpg,lenovo-thinkpad-x390.jpg,,Default,simple,"Root,Root/Laptop,Root/Laptop/Lenovo",base,Lenovo ThinkPad X390,Taxable Goods,"Catalog, Search",827.97,lenovo-thinkpad-x390.,Lenovo ThinkPad X390,26
Dell Latitude 7490,Dell Latitude 7490,dell-latitude-7490.jpg,dell-latitude-7490.jpg,dell-latitude-7490.jpg,dell-latitude-7490.jpg,,Default,simple,"Root,Root/Laptop,Root/Laptop/Dell",base,Dell Latitude 7490,Taxable Goods,"Catalog, Search",718.97,dell-latitude-7490.,Dell Latitude 7490,29
Asus Vivobook Flip 14 TM420,Asus Vivobook Flip 14 TM420,tm420re-0.jpg,tm420re-0.jpg,tm420re-0.jpg,tm420re-0.jpg,,Default,simple,"Root,Root/Laptop,Root/Laptop/Asus",base,Asus Vivobook Flip 14 TM420,Taxable Goods,"Catalog, Search",740.77,tm420re-0.,Asus Vivobook Flip 14 TM420,32
MSI Prestige 15 A11,MSI Prestige 15 A11,msi_prestige15a11gr_00.jpg,msi_prestige15a11gr_00.jpg,msi_prestige15a11gr_00.jpg,msi_prestige15a11gr_00.jpg,,Default,simple,"Root,Root/Laptop,Root/Laptop/MSI",base,MSI Prestige 15 A11,Taxable Goods,"Catalog, Search",1961.59,msi_prestige15a11gr_00.,MSI Prestige 15 A11,26
Acer Nitro 5 2021 (Intel H45),Acer Nitro 5 2021 (Intel H45),acer-nitro5-2021-1.jpg,acer-nitro5-2021-1.jpg,acer-nitro5-2021-1.jpg,acer-nitro5-2021-1.jpg,,Default,simple,"Root,Root/Laptop,Root/Laptop/Acer",base,Acer Nitro 5 2021 (Intel H45),Taxable Goods,"Catalog, Search",1068.21,acer-nitro5-2021-1.,Acer Nitro 5 2021 (Intel H45),44
HP Pavilion 14 (Intel Gen 11),HP Pavilion 14 (Intel Gen 11),pavi14g11gold-00.jpg,pavi14g11gold-00.jpg,pavi14g11gold-00.jpg,pavi14g11gold-00.jpg,,Default,simple,"Root,Root/Laptop,Root/Laptop/HP",base,HP Pavilion 14 (Intel Gen 11),Taxable Goods,"Catalog, Search",980.58,pavi14g11gold-00.,HP Pavilion 14 (Intel Gen 11),41
Lenovo Ideapad S540-13IML,Lenovo Ideapad S540-13IML,lenovo-ideapad-s540-iron-grey-gallery-1.jpg,lenovo-ideapad-s540-iron-grey-gallery-1.jpg,lenovo-ideapad-s540-iron-grey-gallery-1.jpg,lenovo-ideapad-s540-iron-grey-gallery-1.jpg,,Default,simple,"Root,Root/Laptop,Root/Laptop/Lenovo",base,Lenovo Ideapad S540-13IML,Taxable Goods,"Catalog, Search",827.97,lenovo-ideapad-s540-iron-grey-gallery-1.,Lenovo Ideapad S540-13IML,35
Dell Latitude 7300,Dell Latitude 7300,dell-latitude-7310.jpg,dell-latitude-7310.jpg,dell-latitude-7310.jpg,dell-latitude-7310.jpg,,Default,simple,"Root,Root/Laptop,Root/Laptop/Dell",base,Dell Latitude 7300,Taxable Goods,"Catalog, Search",806.17,dell-latitude-7310.,Dell Latitude 7300,26
ASUS VivoBook 14 X415,ASUS VivoBook 14 X415,x409-00.jpg,x409-00.jpg,x409-00.jpg,x409-00.jpg,,Default,simple,"Root,Root/Laptop,Root/Laptop/Asus",base,ASUS VivoBook 14 X415,Taxable Goods,"Catalog, Search",741.21,x409-00.,ASUS VivoBook 14 X415,38
MSI Summit E16 Flip,MSI Summit E16 Flip,msi-nb-summit-e16-flip-photo02.jpg,msi-nb-summit-e16-flip-photo02.jpg,msi-nb-summit-e16-flip-photo02.jpg,msi-nb-summit-e16-flip-photo02.jpg,,Default,simple,"Root,Root/Laptop,Root/Laptop/MSI",base,MSI Summit E16 Flip,Taxable Goods,"Catalog, Search",2048.79,msi-nb-summit-e16-flip-photo02.,MSI Summit E16 Flip,41
Acer Swift X 2021,Acer Swift X 2021,swift-x-sfx14-41g-fpbl-sfg-03a.jpg,swift-x-sfx14-41g-fpbl-sfg-03a.jpg,swift-x-sfx14-41g-fpbl-sfg-03a.jpg,swift-x-sfx14-41g-fpbl-sfg-03a.jpg,,Default,simple,"Root,Root/Laptop,Root/Laptop/Acer",base,Acer Swift X 2021,Taxable Goods,"Catalog, Search",1307.58,swift-x-sfx14-41g-fpbl-sfg-03a.,Acer Swift X 2021,23
